Period,IDPROV,Province,Xcoord,Ycoord,IDDISTRICT,District,Event,Casualties,Injured,Missing,Affected,Displaced,House_HD,House_MD,House_SD,Flooded
January 2018,51,BALI,115.13213,-8.36978,5105,KLUNGKUNG,Landslide,,,,5,,,1,,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6301,TANAH LAUT,Whirlwind,,,,5,,1,,,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6311,BALANGAN,Flood,,,,0,,,,,25
January 2018,11,ACEH,96.91028,4.2251,1108,ACEH BESAR,Flood,,,,260,260,,,,28
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3504,TULUNGAGUNG,Whirlwind,,,,0,,,,16,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3504,TULUNGAGUNG,Whirlwind,,,,0,,,,30,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3318,PATI,Flood,,,,0,,,,,
January 2018,11,ACEH,96.91028,4.2251,1109,PIDIE,Flood,,,,0,,,,1,
January 2018,11,ACEH,96.91028,4.2251,1108,ACEH BESAR,Flood,,,,852,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3502,PONOROGO,Landslide,,,,0,,,1,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3502,PONOROGO,Flood,,,,106,106,,,,14
January 2018,32,JAWA BARAT,107.6028,-6.91998,3204,BANDUNG,Flood,,,,1630,,,,,525
January 2018,73,SULAWESI SELATAN,119.96738,-4.7654,7317,LUWU,Landslide,,,,0,,2,,2,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3316,BLORA,Flood,,,,0,,,,,108
January 2018,11,ACEH,96.91028,4.2251,1111,ACEH UTARA,Flood,,,,25309,9747,,,,1330
January 2018,32,JAWA BARAT,107.6028,-6.91998,3215,KARAWANG,Flood,,,,2335,,,,,485
January 2018,32,JAWA BARAT,107.6028,-6.91998,3204,BANDUNG,Flood,,,,480,,,,,52
January 2018,32,JAWA BARAT,107.6028,-6.91998,3217,BANDUNG BARAT,Landslide,,,,25,10,,,,
January 2018,12,SUMATERA UTARA,99.05314,2.19191,1275,KOTA MEDAN,Flood,,,,525,,,,,105
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3374,KOTA SEMARANG,Landslide,,,,0,,1,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3374,KOTA SEMARANG,Landslide,,,,0,,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3374,KOTA SEMARANG,Landslide,,,,0,,1,,,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3204,BANDUNG,Flood,,,,205,205,,,,4969
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3302,BANYUMAS,Landslide,,,,0,,1,2,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3521,NGAWI,Whirlwind,,,,0,,1,,4,
January 2018,14,RIAU,101.80779,0.51272,1403,INDRAGIRI HILIR,Whirlwind,,,,0,,,,3,
January 2018,12,SUMATERA UTARA,99.05314,2.19191,1211,KARO,,,,,0,,,,,
January 2018,11,ACEH,96.91028,4.2251,1105,ACEH TIMUR,Flood,,,,444,130,,,,
January 2018,73,SULAWESI SELATAN,119.96738,-4.7654,7313,WAJO,Whirlwind,,,,0,,20,30,48,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3321,DEMAK,Flood,,,,35,,,,,7
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3323,TEMANGGUNG,Whirlwind,,,,0,,,,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3305,KEBUMEN,Whirlwind,,,,0,,,2,,
January 2018,11,ACEH,96.91028,4.2251,1112,ACEH BARAT DAYA,High Tide/Abrasion,,,,0,,,,,
January 2018,73,SULAWESI SELATAN,119.96738,-4.7654,7373,KOTA PALOPO,Whirlwind,,,,0,,,,23,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3303,PURBALINGGA,Landslide,,,,0,,1,,,
January 2018,12,SUMATERA UTARA,99.05314,2.19191,1211,KARO,Volcano Eruption,,,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3374,KOTA SEMARANG,Whirlwind,,,,0,,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3322,SEMARANG,Landslide,,,,0,,,,,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6305,TAPIN,Flood,,,,76,,,,,21
January 2018,11,ACEH,96.91028,4.2251,1114,ACEH TAMIANG,Flood,,,,1025,,,,,
January 2018,16,SUMATERA SELATAN,104.17052,-3.21413,1601,OGAN KOMERING ULU,Flood,,,,0,,,,,3
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3507,MALANG,Landslide,,,,0,,2,,,
January 2018,62,KALIMANTAN TENGAH,113.42482,-1.60397,6203,KAPUAS,Flood,,,,409,,,,,57
January 2018,73,SULAWESI SELATAN,119.96738,-4.7654,7326,TORAJA UTARA,Landslide,,,,9500,,7,7,2,
January 2018,12,SUMATERA UTARA,99.05314,2.19191,1211,KARO,Volcano Eruption,,,,0,,,,,
January 2018,62,KALIMANTAN TENGAH,113.42482,-1.60397,6202,KOTAWARINGIN TIMUR,Flood,,,,2395,,,,,82
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3303,PURBALINGGA,Whirlwind,,,,0,,,1,,
January 2018,76,SULAWESI BARAT,119.34408,-2.46158,7606,MAMUJU TENGAH,Flood,,,,1250,,,,,250
January 2018,82,MALUKU UTARA,127.63524,0.70616,8206,HALMAHERA TIMUR,Whirlwind,,,,145,,1,,31,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6307,HULU SUNGAI TENGAH,Flood,,,,6500,,,,,800
